PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.12025936801975153,0.12025936801975153
PC2,0.08929703134348471,0.20955639936323622
PC3,0.07899370824447598,0.2885501076077122
PC4,0.054967154992262277,0.3435172625999745
PC5,0.044450058793355895,0.3879673213933304
PC6,0.04361875784909293,0.4315860792424233
PC7,0.04205484618068648,0.4736409254231098
PC8,0.035835189216136876,0.5094761146392467
PC9,0.0347262087538056,0.5442023233930523
PC10,0.03374505500348886,0.5779473783965412
PC11,0.033396945358276246,0.6113443237548174
PC12,0.03179609302211621,0.6431404167769336
PC13,0.031520363005424365,0.6746607797823579
PC14,0.030868193517323485,0.7055289732996815
PC15,0.029955584019935356,0.7354845573196168
PC16,0.029344241318908084,0.7648287986385249
PC17,0.027619623386892864,0.7924484220254178
PC18,0.025387937535627084,0.8178363595610448
PC19,0.024167933240905697,0.8420042928019505
PC20,0.023322174005323243,0.8653264668072738
PC21,0.021126193806025508,0.8864526606132993
PC22,0.0201197264146258,0.9065723870279251
PC23,0.017226515402242,0.923798902430167
PC24,0.015602487731062147,0.9394013901612291
PC25,0.01490189376387941,0.9543032839251085
