,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
num__latitude,-0.053436909821662354,0.035130823093187755,-0.3962680557920148,-0.04450504289203618,-0.2881944432007729,-0.29006395865805784,-0.12977117318545991,0.16683675644775578,-0.03521780853626032,-0.05716144553047534,-0.0060846430514445125,-0.09349142852759659,-0.018694689603151956,0.05661355804305878,-0.009032555660136537,0.032386200561430205,0.09348086627067763,-0.09760667682590321,0.040796559336760935,-0.06365317729153915,-0.013456282925289286,-0.11500511260010483,0.004525662894016371,-0.128451457065399,0.1592529205003062
num__longitude,-0.10377932996413292,0.05966263676699265,-0.5117266845123719,-0.04492953789707007,-0.007992295265339225,0.15769824153639486,0.1612614488436833,-0.05762414167327691,0.03813356146368291,0.013394963615379622,-0.01396517867570964,0.02084266496234127,0.02166056256153857,0.0008824227218621199,0.003279886925314434,-0.07460854652327878,-0.05868402162029043,0.05519297029077271,0.035676656864548406,0.011950427134858424,0.011152698647572078,0.03055652649022742,0.02754717186359005,0.08236011200956685,-0.0693200066642687
num__age_first_funding_year,0.12344785171243522,0.4149524195443511,0.03940374799064602,0.31841843268203845,-0.12417638253043445,0.022540278693202444,0.07975151765395373,-0.04322192601428477,0.1355297855281863,0.07064325846551751,-0.014612981611875664,-0.053629435249806,-0.0063148139771835214,0.0800040298810869,0.04585080778581909,0.03401313461075206,-0.05625939650584572,-0.06654971835641905,-0.00224948960745233,-0.10742119048258603,0.11019918671704403,0.14842676305436894,0.0749391489053274,0.028403996350810756,0.09535371854646485
num__age_last_funding_year,0.3107390649834285,0.36464719821840885,-0.043827606750111874,0.11224906679493309,0.006831250155269619,0.016953786109348393,-0.039486921497850096,-0.04564907354414295,0.11050381979704742,0.046963747755605044,-0.016152307917572953,-0.10297941889017415,-0.0032863766630398888,-0.007142673443431799,-0.03050953578871438,0.011097564855679422,-0.057056427941435985,0.0011951622540493116,0.05769619992799881,0.01967501341036001,0.19169986163802685,0.2018220511703056,0.033112091085439374,-0.04735036473111279,-0.02458874152644693
num__age_first_milestone_year,0.34533497192834556,0.06995235407963854,-0.05769831723233135,0.37481890700381854,-0.02826851097348187,0.04120811935140533,0.06412113086736262,0.02821276702604467,0.08518869072709159,-0.03035492402746778,-0.001037116232978569,-0.011899933594586132,0.0369192550186153,-0.05446682774944304,0.03495320476318965,-0.053734302794070266,0.012941471738719804,-0.060776182214589324,0.09287731451156214,0.10414486431891419,0.04864707612946055,0.04866147128561128,-0.03811573726039212,0.058189069174608324,0.043517843594549036
num__age_last_milestone_year,0.3835654296087176,-0.0723254736941268,-0.073071743615156,0.3610392604762647,-0.023883366825494044,0.035510555406541126,0.014923766704137288,0.026451954772013276,0.04630981280461314,-0.030738537611864188,-0.02398929772221328,-0.008006333688785219,0.012115134791758896,-0.011219917979990167,0.02324750161982364,-0.051789626433650794,0.018874549116646013,-0.018035429185094775,-0.01623368481486755,0.03717957692176338,-0.022280360784569166,0.04043532426310003,0.0006768598052978741,-0.03649684475787076,0.037324792163143355
num__relationships,0.27981979043400523,-0.2412959957009467,-0.051651476663393515,-0.085712508154612,0.027826359264934073,0.05752145923966239,-0.027119361083188652,0.07369306743088351,0.07853455995462949,0.1498252220847527,-0.00023835925022006166,0.0686878553739665,-0.001990016470982293,-0.11280079254447399,0.018394422191137644,0.0761984126555569,0.07209443857161903,-0.021943370998741923,-0.0008006292078797254,-0.013112853824629988,0.0019829644971164724,-0.23107562708978927,0.51806323654207,0.549964266453611,0.18345927490831057
num__funding_rounds,0.29845381885343664,-0.04277380704374364,-0.1315253950768227,-0.31346977634350287,0.19536502626747038,0.019514685243548664,-0.2368882525736737,-0.05496309985284715,-0.014649888009605046,-0.026840118821973263,0.028636275024969172,-0.09033476628265492,-0.012516741616300682,-0.15161394443790227,-0.14142551631471512,-0.01036445533059642,-0.041451850979488766,0.10587397318310837,0.08547825079608579,0.21240353964661646,0.27203554113679523,0.13149017406783406,-0.04282634766588657,-0.1352726840318097,-0.07987189056614402
num__funding_total_usd,0.06626788550727061,0.035600440808645765,-0.029246653947870717,0.012668131548123405,0.08137614272317625,0.07415761201062464,-0.17052706820990868,-0.23846199003399057,0.08805860480657197,0.2517411351620085,-0.19004299070060507,0.45571655255301274,-0.2097473977509289,0.13580996360160874,0.1174345627425309,0.061355108025267405,0.3258076855018012,0.48395172571002265,0.3320634329663928,-0.07811609405861888,-0.015631784608250383,-0.06630044875380535,-0.09040898104167873,-0.08326381024228945,0.00866640061088932
num__milestones,0.21709114995714401,-0.39656318849620176,-0.10738986606290844,0.1330051870989398,-0.000921668833788102,0.024666921428837554,-0.05035437769347318,0.03573111747474984,-0.030088654123388615,-0.03388929187651892,-0.026865500224161377,-0.01763597609408662,-0.0008121506838815117,0.04317538977943066,0.0424829577041945,-0.0010940590258104051,0.00514772643745069,0.04669278802341466,-0.1625024090891024,0.005478562219321689,-0.13642729825357547,-0.048342878814276555,0.116142776617183,-0.015241248254094663,-0.006365621565187584
